Proceso de Negocio,Actividad del Negocio,Responsable del Negocio,Requerimiento o Responsabilidad,Especificación de Requerimientos,Caso de Uso,Actores
"Happy Jump — Centro de entretenimiento y eventos","Contexto: la empresa opera canchas (fútbol/vóley) y salones para eventos; el personal usa la app Android conectada a API Node.js + MySQL para registrar reservas, cobros y reportes.",Dueño / Gerencia de operaciones,—,Reemplazar el texto de ejemplo ""ACME SA fabricación"" por esta descripción en la portada de la matriz.,—,—
Gestionar acceso al sistema,Ingresar a la aplicación con nombre y PIN,Encargado de turno / Administrador,RF01,El sistema debe autenticar al usuario y emitir un token de sesión seguro.,CUS-01 Iniciar sesión,"Trabajador; Administrador; Sistema (API)"
Gestionar acceso al sistema,Operar según rol (trabajador vs administrador),Administrador de sistema / Dueño,RF02,Tras el login la navegación y funciones visibles deben corresponder al rol del usuario.,CUS-02 Acceder según rol,Administrador; Trabajador; Sistema (API)
Gestionar acceso al sistema,Mantener una sola sesión activa por usuario,Administrador de sistema,RF03,Si el mismo usuario inicia sesión en otro dispositivo el sistema debe rechazar o avisar según regla de negocio.,CUS-03 Control de sesión única,Trabajador; Sistema (API)
Gestionar acceso al sistema,Cerrar sesión,Encargado de turno,RF04,El usuario debe poder cerrar sesión y volver a la pantalla de login.,CUS-04 Cerrar sesión,Trabajador; Administrador; Sistema (API)
Reservar cancha deportiva,Consultar disponibilidad por día y semana,Encargado de cancha / Recepción,RF05,Visualizar la grilla de horarios (:00 y :30) y el estado de cada franja (libre/ocupado/adelanto).,CUS-05 Consultar agenda de cancha,Trabajador; Sistema (API)
Reservar cancha deportiva,Reservar tocando un horario de la grilla,Encargado de cancha,RF06,Crear reserva con cliente deporte monto y forma de pago; validar solapamientos en servidor.,CUS-06 Crear reserva desde grilla,Trabajador; Sistema (API); Cliente (datos)
Reservar cancha deportiva,Reservar rango personalizado (""Otra hora""),Encargado de cancha,RF07,Permitir inicio y fin en minutos válidos (reglas 30/60 min) desde la hora actual en adelante.,CUS-07 Registrar turno con horario libre,Trabajador; Sistema (API); Cliente (datos)
Reservar cancha deportiva,Ver turnos largos como una sola reserva,Encargado de cancha,RF08,Varias franjas contiguas del mismo cliente deben mostrarse y gestionarse como un único turno.,CUS-08 Gestionar turno unificado,Trabajador; Sistema (API)
Reservar cancha deportiva,Usar calendario mensual con semáforo de disponibilidad,Encargado de cancha,RF09,El calendario debe indicar por color días libres parcialmente ocupados o llenos según la grilla.,CUS-09 Elegir fecha con calendario,Trabajador; Sistema (API)
Reservar cancha deportiva,Registrar adelanto o pago completo y cobrar saldo pendiente,Encargado de cancha / Caja,RF10,Los estados de reserva y el saldo pendiente deben reflejarse en UI y API.,CUS-10 Marcar pago y cobrar saldo,Trabajador; Sistema (API)
Reservar cancha deportiva,Cancelar reserva con motivo obligatorio,Encargado de cancha,RF11,Cancelación debe exigir motivo y actualizar estado en base de datos.,CUS-11 Cancelar reserva de cancha,Trabajador; Sistema (API)
Reservar salones y eventos,Consultar y filtrar reservas por salón y fecha,Encargado de eventos / Recepción,RF12,Listar reservas de salones con datos de evento y horarios.,CUS-12 Consultar agenda de salones,Trabajador; Sistema (API)
Reservar salones y eventos,Crear reserva de salón (cumpleaños u otro evento),Encargado de eventos,RF13,Validar horarios solapes y datos obligatorios según tipo de evento.,CUS-13 Crear reserva de salón,Trabajador; Sistema (API); Cliente (datos)
Informar y administrar,Visualizar reportes de ingresos y ocupación (periodo),Administrador / Gerencia,RF14,Consultar métricas por periodo usando datos consolidados de la API.,CUS-14 Generar reportes,Administrador; Sistema (API)
Informar y administrar,Exportar o consultar cancelaciones (según módulo admin),Administrador,RF15,Disponer de información de reservas canceladas para auditoría o mejora.,CUS-15 Revisar cancelaciones,Administrador; Sistema (API)
Mantener cuenta de usuario,Cambiar PIN del usuario autenticado,Trabajador / Administrador,RF16,Permitir actualización de PIN con validaciones de seguridad definidas.,CUS-16 Cambiar PIN,Trabajador; Administrador; Sistema (API)
Operación técnica del producto,Configurar conexión app–servidor y desplegar API,Desarrollador / TI,RF17,URL de API configurable; servidor valida fechas horas y reglas; base MySQL con migraciones.,CUS-17 Desplegar y conectar entorno,Sistema (API); Desarrollador
Operación técnica del producto,Almacenar duración real de cada franja de cancha,Desarrollador / Sistema,RF18,La API debe devolver duracion_minutos en listados para mostrar correctamente rangos (ej. 1 h 30 min).,CUS-18 Consistencia de horarios en listados,Sistema (API); Trabajador
